#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)     dX(")       dX_er(")    dY(")       dY_er(")
   1902.55    0.205534    0.018393    0.077271    0.018481  99.9900000  99.9900000   -0.098108    0.000000   -0.017290    0.000000
   1902.60    0.199882    0.019685    0.028340    0.019204  99.9900000  99.9900000   -0.097021    0.000000   -0.017329    0.000000
   1902.65    0.171490    0.019640   -0.005917    0.016473  99.9900000  99.9900000   -0.096382    0.000000   -0.017350    0.000000
   1902.70    0.157291    0.018018   -0.046209    0.019234  99.9900000  99.9900000   -0.096163    0.000000   -0.017428    0.000000
   1902.75    0.085587    0.020993   -0.091049    0.022622  99.9900000  99.9900000   -0.096473    0.000000   -0.017742    0.000000
   1902.80    0.034260    0.018244   -0.108951    0.016402  99.9900000  99.9900000   -0.097057    0.000000   -0.018451    0.000000
   1902.85   -0.023217    0.019349   -0.094535    0.020119  99.9900000  99.9900000   -0.097893    0.000000   -0.019202    0.000000
   1902.90   -0.068771    0.023284   -0.091349    0.020618  99.9900000  99.9900000   -0.098356    0.000000   -0.020014    0.000000
   1902.95   -0.132440    0.023712   -0.035289    0.023616  99.9900000  99.9900000   -0.098629    0.000000   -0.020722    0.000000
   1903.00   -0.185201    0.023739    0.006092    0.023274  99.9900000  99.9900000   -0.098793    0.000000   -0.020892    0.000000
   1903.05   -0.222631    0.024843    0.044160    0.022839  99.9900000  99.9900000   -0.098708    0.000000   -0.020763    0.000000
   1903.10   -0.234206    0.019915    0.065867    0.021460  99.9900000  99.9900000   -0.098643    0.000000   -0.020037    0.000000
   1903.15   -0.212113    0.022848    0.129974    0.023476  99.9900000  99.9900000   -0.098756    0.000000   -0.019167    0.000000
   1903.20   -0.175194    0.023818    0.192064    0.022817  99.9900000  99.9900000   -0.098932    0.000000   -0.018168    0.000000
   1903.25   -0.171285    0.020151    0.183890    0.020686  99.9900000  99.9900000   -0.099313    0.000000   -0.017245    0.000000
   1903.30   -0.138009    0.021339    0.226363    0.018845  99.9900000  99.9900000   -0.099457    0.000000   -0.016675    0.000000
   1903.35   -0.049073    0.019379    0.282006    0.017311  99.9900000  99.9900000   -0.099412    0.000000   -0.016391    0.000000
   1903.40    0.001287    0.019149    0.249500    0.021019  99.9900000  99.9900000   -0.098932    0.000000   -0.016557    0.000000
   1903.45    0.052762    0.018422    0.270684    0.019675  99.9900000  99.9900000   -0.098085    0.000000   -0.016681    0.000000
   1903.50    0.081310    0.016138    0.254427    0.017308  99.9900000  99.9900000   -0.096918    0.000000   -0.016980    0.000000
   1903.55    0.148578    0.017924    0.236589    0.018799  99.9900000  99.9900000   -0.095552    0.000000   -0.017040    0.000000
   1903.60    0.183179    0.015992    0.188964    0.018212  99.9900000  99.9900000   -0.094633    0.000000   -0.017080    0.000000
   1903.65    0.219358    0.015086    0.104063    0.017662  99.9900000  99.9900000   -0.093882    0.000000   -0.017147    0.000000
   1903.70    0.213310    0.020299    0.081486    0.021653  99.9900000  99.9900000   -0.093700    0.000000   -0.017248    0.000000
   1903.75    0.185011    0.018181   -0.008879    0.021911  99.9900000  99.9900000   -0.093992    0.000000   -0.017615    0.000000
   1903.80    0.148806    0.021927   -0.061869    0.017127  99.9900000  99.9900000   -0.094622    0.000000   -0.018414    0.000000
   1903.85    0.127505    0.024644   -0.108027    0.022886  99.9900000  99.9900000   -0.095321    0.000000   -0.019216    0.000000
   1903.90    0.089294    0.027676   -0.098450    0.021124  99.9900000  99.9900000   -0.095988    0.000000   -0.020183    0.000000
   1903.95    0.011738    0.029402   -0.093767    0.023480  99.9900000  99.9900000   -0.096174    0.000000   -0.020746    0.000000
   1904.00   -0.076534    0.029466   -0.075310    0.026064  99.9900000  99.9900000   -0.096349    0.000000   -0.021177    0.000000
   1904.05   -0.134497    0.026089   -0.079090    0.023426  99.9900000  99.9900000   -0.096232    0.000000   -0.020866    0.000000
   1904.10   -0.172247    0.024182   -0.026527    0.021364  99.9900000  99.9900000   -0.096227    0.000000   -0.020403    0.000000
   1904.15   -0.193156    0.031531    0.021542    0.032851  99.9900000  99.9900000   -0.096217    0.000000   -0.019351    0.000000
   1904.20   -0.219833    0.022234    0.005864    0.028884  99.9900000  99.9900000   -0.096476    0.000000   -0.018491    0.000000
   1904.25   -0.202023    0.023391    0.077015    0.021591  99.9900000  99.9900000   -0.096785    0.000000   -0.017647    0.000000
   1904.30   -0.184642    0.031993    0.127928    0.024819  99.9900000  99.9900000   -0.096914    0.000000   -0.016963    0.000000
   1904.35   -0.159040    0.019050    0.153517    0.021057  99.9900000  99.9900000   -0.096838    0.000000   -0.016813    0.000000
   1904.40   -0.120114    0.022933    0.233691    0.021686  99.9900000  99.9900000   -0.096424    0.000000   -0.017012    0.000000
   1904.45   -0.057912    0.017000    0.243991    0.017525  99.9900000  99.9900000   -0.095501    0.000000   -0.017203    0.000000
   1904.50    0.000659    0.015363    0.249471    0.016865  99.9900000  99.9900000   -0.094285    0.000000   -0.017436    0.000000
   1904.55    0.064127    0.017529    0.250049    0.019406  99.9900000  99.9900000   -0.093029    0.000000   -0.017482    0.000000
   1904.60    0.100758    0.013996    0.206088    0.016494  99.9900000  99.9900000   -0.091992    0.000000   -0.017503    0.000000
   1904.65    0.123786    0.014812    0.177189    0.014584  99.9900000  99.9900000   -0.091347    0.000000   -0.017467    0.000000
   1904.70    0.156436    0.016342    0.139199    0.016714  99.9900000  99.9900000   -0.091264    0.000000   -0.017633    0.000000
   1904.75    0.167457    0.020981    0.118582    0.021581  99.9900000  99.9900000   -0.091462    0.000000   -0.018125    0.000000
   1904.80    0.155260    0.019602    0.071097    0.018013  99.9900000  99.9900000   -0.092124    0.000000   -0.018753    0.000000
   1904.85    0.148945    0.021607    0.033450    0.018514  99.9900000  99.9900000   -0.092790    0.000000   -0.019858    0.000000
   1904.90    0.107772    0.028148    0.024392    0.025404  99.9900000  99.9900000   -0.093399    0.000000   -0.020673    0.000000
   1904.95    0.118706    0.026884   -0.006870    0.026261  99.9900000  99.9900000   -0.093648    0.000000   -0.021376    0.000000
   1905.00    0.064359    0.022412   -0.053591    0.025719  99.9900000  99.9900000   -0.093785    0.000000   -0.021664    0.000000
   1905.05    0.009200    0.024033   -0.103046    0.026639  99.9900000  99.9900000   -0.093755    0.000000   -0.021470    0.000000
   1905.10   -0.031124    0.026425   -0.117576    0.022503  99.9900000  99.9900000   -0.093721    0.000000   -0.020922    0.000000
